Department,Author
ID01,Joseph Pine
ID02,Marc Hassenzahl
ID03,"Saul Greenberg, Sheelagh Carpendale, Nicolai Marquardt, Bill Buxton"
ID03.1,"Saul Greenberg, Sheelagh Carpendale, Nicolai Marquardt, Bill Buxton"
ID04,David Silverman
ID05,Bill Moggridge
ID05.1,Bill Moggridge
ID06,Martin Knobel
ID07,Sebastian Löhmann
ID08,Don Norman
ID08.1,Don Norman
ID09,"Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel"
ID10,Denzin Lincoln
ID11,Steve Krug
ID11.1,Steve Krug
ID12,"Sarah Pink, Yoko Akama, Shanti Sumartojo"
ID13,Melis Senova
ID14,Lara Penin
ID15,Susan Weinschenk
ID16,Andy Field & Graham Hole
ID17,"Laurel, Brenda"
ID18,Robert Curedale
ID19,"Derek Yates, Jessie Price"
ID20,"Emma Jefferies, Joyce Yee, Lauren Tan"
ID21,Helen Armstrong & Zvezdana Stojmirovic
ID22,"Marc Stickdorn, Jakob Schneider"
ID23,Bella Martin & Bruce Hanington
ID24,Nigel Cross
ID25,John Thackara
ID26,Whitney Quesenbery et al
ID27,Idris Mootee
ID28,David Kelley
ID29,Scott McCloud
ID30,David McCandless
ID31,"Marc Stickdorn, Markus Edgar Hormess, Adam Lawrence, Jakob Schneider"
ID32,Cathy Pearl
ID33,Ellen Lupton
ID34,Erik Spiekermann
ID35,Jeff Davis
ID36,Al Judge
ID37,Bryan Peterson
ID38,"Lidwell, Holden, Butter"
ID38.1,"Lidwell, Holden, Butter"
ID39,James Kalbach
ID40,Jon Kolko
ID41,Ellen Lupton and Jennifer Cole Phillips
ID42,Smashing Book
ID43,Jonathan A. Smith
ID44,Stephen Wendel
ID45,Richard Williams
ID46,B.J. Fogg
ID47,"Benedikt Groß, Hartmut Bochnacker, Julia Laub, Claudius Lazzeroni"
ID48,"Benedikt Groß, Hartmut Bochnacker, Julia Laub, Claudius Lazzeroni"
ID49,Andrew Shea
ID50,Randy Krum
ID51,Victor Papanek
ID52,Chris Nodder
ID53,"Grant Wiggins, Jay McTighe"
ID54,John Maeda
ID55,"Kai Jacob,Jaron Verlag"
ID56,Ellen Lupton
ID57,John Bucher
ID58,David S. Ebert et al
ID59,Thomas Madsen-Mygdal
ID60,Wolfgang Pfaffe
ID61,Bryan Peterson
ID62,Amy Graver & Ben Jura
ID63,Jeff Johnson
ID64,Daniel Shiffman
ID65,Steve Anchell
ID66,Steve Aukstakalnis
ID67,Rob Ford & Julius Wiedemann
ID68,Radim Malinic
ID69,Radim Malinic
ID70,Russ Unger and Carolyn Chandler
ID71,Catherine Slade-Brooking
ID72,"Conny Bakker, Marcel den Hollander"
ID73,Michael Johnson
ID74,Kassia St Clair
ID75,Ian Walker
ID76,David C. Evans
ID77,Val Head
ID78,Golden Krishna
ID79,Everett N. McKay
ID80,"William Lidwell, Kritina Holden, Jill Butler"
ID81,Edward R. Tufte
ID82,Mike Monteiro
