Department,Author
SE01, Marijn Haverbeke
SE02,Addy Osmani
SE03,David West
SE04,"Steve Freeman, Nat Pryce"
SE05,Sandi Metz
SE06,Miran Lipovaca
SE07,"Bryan O'Sullivan, John Goerzen, Donald Bruce Stewart"
SE08,Simon Marlow
SE09,Dusty Phillips
SE10,Wes McKinney
SE11,Joel Grus
SE12,Sebastian Raschka
SE13,Aurélien Géron
SE14,Henk Barendregt
SE15,Neal Ford
SE16,Kevlin Henney
SE16,Kevlin Henney
SE17,Justin Zobel
SE18,Foster Provost
SE19,Michael J. Hernandez
SE20,"John L. Viescas, Michael J. Hernandez"
SE21,Alan Beaulieu
SE22,Bill Karwin
SE23,"Douglas McMurtry, Andrew Oakley, John Sharp, Mani Subramanian, Hanzhong Zhang"
SE24,Josiah L. Carlson
SE25,"Nathan Marz, James Warren"
SE26,Tom White
SE27,"Holden Karau, Andy Konwinski, Patrick Wendell, Matei Zaharia"
SE28,"Sandy Ryza, Uri Laserson, Sean Owen, Josh Wills"
SE29,"Hector Garcia-Molina, Jeffrey D Ullman, Jennifer Widom"
SE30,"Alfons Kemper, Andre Eickler"
SE31,"Boris Adryan, Dominik Obermaier, Paul Fremantle"
SE32,John Rossman
SE33,"Dirk Slama, Frank Puhlmann, Jim Morrish, Rishi M Bhatnagar"
SE34,John C. Shovic
SE35,ADITYA. GUPTA
SE36,Ian Goodfellow
SE37,Ethem Alpaydin
SE38,Hendrick Brink
SE39,Oliver Liebel
SE40,Sébastien Goasguen
SE41,"Russ McKendrick, Scott Gallagher"
SE42,Randall Smith
SE43,Rafal Leszko
SE44,"Sean P. Kane, Karl Matthias"
SE45,"Matthew Mathias, John Gallagher"
SE46,"Aaron Hillegass, Joe Conway"
SE47,"Bill Phillips, Chris Stewart, Kristin Marsicano"
SE48,Ian F. Darwin
SE49,Robert C. Martin
SE50,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides"
SE51,Jean-Philippe Aumasson
SE52,"Christof Paar, Jan Pelzl"
SE53,James Forshaw
SE54,Ivan Ristic
SE55,
SE56,Simon Singh
SE57,Al Sweigart
SE58,Daniel Drescher
SE59,Henning Diedrich
SE60,Khalid Sayood
SE61,"Colt McAnlis, Aleks Haecky"
SE62,"Jan Goyvaerts, Steven Levithan"
SE63,Thomas H. Cormen
SE64,Roman Pichler
SE65,Jeremy Kun
SE66,Sam Newman
SE67,Alexander Tarlinder
SE68,Chromatic
SE69,"Ramez Elmasri, Shamkant Navathe"
SE70,"Trevor Hastie, Robert Tibshirani, Jerome Friedman"
SE71,Dave Thomas
SE72,"Tomas Akeine-Möller, Eric Haines, Naty Hoffman, Angelo Pesce, Michał Iwanicki, Sébastien Hillaire"
SE73,Robert C. Martin 
SE74,Daniel Shiffman
SE75,"Lars Luck, Bjorn Bloching, Thomas Ramge"
SE76,Peter Seibel
SE77,"Jonathan Oxer, Hugh Blemings"
SE78,Upskill Learning
SE79,Cornel Amariei
SE80,"Dieter Schmalstieg, Tobias Hollerer"
SE81,"Randall Shumaker, Lackey Stephanie"
SE82,Jeffrey Pomerantz
SE83,"Andreas Butz, Antonio Krüger"
SE84,Kevin Mullet
SE85,"Fletcher Dunn, Ian Parberry"
SE86,"Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra"
SE87,Eric Matthes
SE87.1,Eric Matthes
SE88,"Jez Humble, David Farley"
SE89,Francois Chollet
SE90,"Betsy Beyer, Chris Jones, Jennifer Petoff, Niall Richard Murphy"
SE91,"Alexander A. Stepanov, Daniel E. Rose"
SE92,Terrence J. Sejnowski
SE93,Billy Ellis
SE94,Billy Ellis
SE95,"Martin Fowler, Kent Beck"
SE96,"Stuart Russell, Peter Norvig"
SE97,Michael Wooldridge
SE98,"Annalyn Ng, Kenneth Soo"
SE98.1,"Annalyn Ng, Kenneth Soo"
SE99,Sandi Metz
SE100,"Roman Zenner, Rico Neitzel"
SE101,Michel Kofler
SE102,Dieter Nührmann
SE103,Scott Rosenberg
SE104,Tim Roughgarden
SE105,Tim Roughgarden
SE106,Michael Lopp
SE107,Douglas Crockford
SE108,Lewis & Chase
SE109,Bjarne Stroustrup
SE110,Anthony Williams
SE111,Bjarne Stroustrup
SE112,Bjarne Stroustrup
SE113,"Stanley B.Lippman, Josée Lajoie, Barbara E.Moo"
SE114,Jake VanderPlas
SE115,Ted Malaska & Jonathan Seidman
SE116,"Tyler Akidau, Slava Chernyak & Reuven Lax"
SE117,Martin Kleppmann
SE118,Syed Muhammad Fahad Akhtar
SE119,Sander Rossel
SE120,"Kevin M. Lynch, Frank C. Park"
SE121,Gilbert Strang
SE122,Lentin Joseph
SE123,Gilbert Strang
SE124,Jamis Buck
SE125,Donald E. Knuth
SE126,Donald E. Knuth
SE127,Donald E. Knuth
SE128,Donald E. Knuth
SE129,"Grady Booch, Robert A. Maksimchuk, Michael W. Engle, Bobbi J. Young, Ph.D. Jim Conallen, Kelli A. Houston"
SE130,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani"
SE131,David Morin
SE132,Christopher M. Bishop
SE133,Will Kurt
SE134,"Fedrico Biancuzzi, Shane Warden"


