Department,Author
STS01,Jaron Lanier
STS02,Jaron Lanier
STS03,Jaron Lanier
STS04,Hubert L. Dreyfus
STS05,Sherry Turkle
STS06,Sherry Turkle
STS07,Sherry Turkle
STS08,Sherry Turkle
STS09,Sherry Turkle
STS10,Lawrence Lessig
STS11,Lawrence Lessig
STS12,Lawrence Lessig
STS13,Lawrence Lessig
STS14,Lawrence Lessig
STS15,Tim Berners-Lee
STS16,Eric S. Raymond
STS17,Linus Thorwalds
STS18,Joseph Weizenbaum
STS19,"Joseph Weizenbaum, Gunna Wendt"
STS20,Norbert Wiener
STS21,Richard M. Stallman
STS22,Marshall McLuhan
STS23,Albert Borgmann
STS24,Gerald M. Weinberg
STS25,Frederick P. Brooks Jr.
STS26,Frederick Brooks
STS27,Plato
STS28,Hans Jonas
STS29,Vittorio Hösle
STS30,Vittorio Hösle
STS31,Gregor/Timmerman/Korsgaard (transl.)
STS32,Immanuel Kant
STS33,Immanuel Kant
STS34,Immanuel Kant
STS35,Immanuel Kant
STS36,Immanuel Kant
STS37,Aristotle
STS38,Jean-PaulSartre
STS39,Gilbert Ryle
STS40,John Rawls
STS41,Thomas Hobbes
STS42,Michael Walzer
STS43,"Jean-Jacques Rousseau, John Scott"
STS44,Walter Benjamin
STS45,Van Norden/Ivanhoe
STS46,Herbert Marcuse
STS47,"Max Horkheimer, Theodor W. Adorno, Gunzelin Noeri"
STS48,Mike Gancarz
STS49,"Friedrich Nietzsche, Bernard Williams, Josefine Nauckhoff"
STS50,Friedrich Nietzsche
STS51,Ludwig Wittgenstein
STS52,Ludwig Wittgenstein
STS53,Luciano Floridi
STS54,Himma/Tavani
STS55,Martin Heidegger
STS56,Jay Rosenberg
STS57,Harry J. Gensler
STS58,Clay Shirky
STS59,Zygmunt Bauman
STS60,Martin Recke
STS60.1,Martin Recke
STS61,Alexander Osterwalder
STS62,Mary Aiken
STS63,Patricia Wallace
STS64,John Suler
STS65,Thomas D. Parsons
STS66,"Alison Attrill, Chris Fullwood"
STS67,Andrew Power
STS68,Ashley Vance
STS69,Tim O'Reilly
STS70,Nick Carr
STS71,Rose Elliot
STS72,Marvin Minsky
STS73,Hannah Arendt
STS74,Susan Neiman
STS75,Susan Neiman
STS76,Jacques Ellul
STS77,Max Tegmark
STS78,Nick Bostrom
STS79,Peter Thiel
STS79.1,Peter Thiel
STS80,Tim Wu
STS81,Ray Kurzweil
STS82,"Hannah Arendt, Gershom Scholem"
STS83,Wittgenstein
STS84,Cheryl Sandberg
STS85,Brad Feld
STS86,Martin Recke
STS87,Robert Heilbroner
STS88,Michael Tomasello
STS89,Mark Fisher
STS90,"Richard Thaler,Cass Sunstein"
STS91,Donald A. Schön
STS91.1,Donald A. Schön
STS92, Donella H. Meadows
STS93,Martin Gertler
STS94,Bruce Schneier
STS95,Tim Wu
STS96,Thomas Ramge
STS97,"Mahatma Gandhi, Anthony J. Parel"
