,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,ISBN,Publication Year,Language,Quantity,Subject Area,Status,Name,C/O Date,,Return Date
SE01,Eloquent JavaScript,A Modern Introduction to Programming, Marijn Haverbeke,No Starch Press,https://m.media-amazon.com/images/I/91ahAhFS-LL._AC_UY436_FMwebp_QL65_.jpg,SE,9781593279509,2019,en,1,JavaScript,Missing,,,,
SE02,Learning JavaScript Design Patterns,A JavaScript and jQuery Developer's Guide,Addy Osmani,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=L46fX62D5qYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781449331818,2012,en,1,Web Programming,Missing,,,,
SE03,Object Thinking,,David West,Microsoft Press,http://books.google.com/books/content?id=6JVCAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780735619654,2004,en,1,Software Engineering,Available,,,,
SE04,Growing Object-Oriented Software,Guided by Tests,"Steve Freeman, Nat Pryce",Pearson Education,http://books.google.com/books/content?id=QJA3dM8Uix0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780321503626,2010,en,1,Software Engineering,Available,,,,
SE05,Practical Object-Oriented Design,An Agile Primer Using Ruby,Sandi Metz,,,,,,,,Programming/Object-Oriented,Available,,,,
SE06,Learn You a Haskell for Great Good!,A Beginner's Guide,Miran Lipovaca,No Starch Press,http://books.google.com/books/content?id=QesxXj_ecD0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781593272838,2011,en,1,Programming Languages,Available,,,,
SE07,Real World Haskell,Code You Can Believe In,"Bryan O'Sullivan, John Goerzen, Donald Bruce Stewart","O'Reilly Media, Inc.",http://books.google.com/books/content?id=nh0okI1a1sQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780596514983,2009,en,1,Programming Languages,Available,,,,
SE08,Parallel and Concurrent Programming in Haskell,Techniques for Multicore and Multithreaded Programming,Simon Marlow,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=wSkRAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781449335946,2013,en,1,Programming Languages,Available,,,,
SE09,Python 3 Object Oriented Programming,Harness the power of Python 3 objects,Dusty Phillips,Packt Publishing Ltd,http://books.google.com/books/content?id=mAy_CffZSDgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781849511261,2010,en,1,Programming Languages,Available,,,,
SE10,Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=UiM3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491957660,2018,en,1,Programming Languages,Rented,Florencia,6-Feb-2020,,4-Aug-2020
SE11,Data Science from Scratch,First Principles with Python,Joel Grus,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=JYodCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491901427,2015,en,1,Data in the Enterprise,Rented,Florencia,6-Feb-2020,,4-Aug-2020
SE12,Python Machine Learning,Unlock deeper insights into machine learning with this vital guide to cutting-edge predicitive analytics,Sebastian Raschka,Packt Publishing Ltd,https://m.media-amazon.com/images/I/51MWlrcCY-L._AC_UL872_FMwebp_QL65_.jpg,SE,9781783555130,2016,en,1,Programming Languages,Available,,,,
SE13,Hands-On Machine Learning with Scikit-Learn and TensorFlow,"Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=bRpYDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491962299,2017,en,1,Programming Languages,Available,,,,
SE14,The Lambda Calculus - Its Syntax and Semantics,,Henk Barendregt,College Publications,http://books.google.com/books/content?id=b8jsMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9781848900660,2012,en,1,Logic,Available,,,,
SE15,Functional Thinking,Paradigm Over Syntax,Neal Ford,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=nObtAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781449365516,2014,en,1,Design Pattern Programming,Available,,,,
SE16,97 Things Every Programmer Should Know,Collective Wisdom from the Experts,Kevlin Henney,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=sS7aPtrUuw4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780596809485,2010,en,1,Programming Languages,Available,,,,
SE16,97 Things Every Java Programmer Should Know,Collective Wisdom from the Experts,Kevlin Henney,,,,,,,,Programming Languages,Available,,,,
SE17,Writing for Computer Science,,Justin Zobel,,,,,,,,Writing,Available,,,,
SE18,Data Science for Business: What you need to know about data mining and data-analytic thinking,What you need to know about data mining and data-analytic thinking,Foster Provost,,,,,,,,Data Science,Available,,,,
SE19,Database Design for Mere Mortals,A Hands-On Guide to Relational Database Design,Michael J. Hernandez,Addison-Wesley,http://books.google.com/books/content?id=MVApxsrcHiAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780321884497,2013,en,1,Databases,Available,,,,
